"purpleheart","You might have to take a bullet to earn one of these"
"marktwain","Richard Pryor was the first recipient of a Kennedy Center humorists' prize named for this American author"
"mathematics","In ""Good Will Hunting"", Stellan Skarsgard had a Fields Medal, called ""The Nobel Prize of"" this discipline"
"obies","Pearls for Pigs"" was 1998's best play in these off-Broadway awards given by the Village Voice"
"notredame","Theodore Hesburgh, once president of this university, has been awarded over 100 honorary degrees"
"willybrandt","In 1971 this West German chancellor won the Nobel Peace Prize for easing East-West tensions"
"evangelinebooth","For her work directing the Salvation Army effort in WWI, she received the Distinguished Service Medal"
"brucecatton","This Civil War historian won a 1954 Pulitzer Prize for his book ""A Stillness At Appomattox"
"calvinhobbes","Cartoonist Bill Watterson won a Reuben Award for this comic strip about a boy and his tiger"
"sciencefiction","Named for magazine publisher Hugo Gernsback, the Hugo Award honors this literary genre"
"villagevoice","The Obie Awards for off-Broadway theater are sponsored by this weekly New York paper"
"cannes","The Palme D'Or, awarded by this French city's film festival, comes from the city's coat of arms"
"stamendment","The Playboy Foundation gives awards named for this free-speech amendment to the U.S. Constitution"
"raoulwallenberg","This Swede who saved thousands of Hungarian Jews was made an honorary U.S. citizen in 1981"
"christianeamanpour","This British-Iranian woman won the George Polk Award for her CNN reportage from Bosnia"
"smurfs","This TV show about little blue creatures won a Humanitas Prize for its ""enriching human values"
"plannedparenthood","The 1985 U.N. Population Award went to this federation that has affiliates in 121 countries"
"baseballfielder","While a Golden Gloves winner is a boxer, a Gold Glove winner is this"
"earthquake","In 1975 ""The Towering Inferno"" won the Cinematographer Oscar, and this disaster film won for Sound"
"rabindranathtagore","In 1913 this poet from India became the 1st Asian to win a Nobel Prize for Literature"
"truck","For 2001 the Chevy Silverado was this ""of the Year"
"aviation","Rickenbacker and Sikorsky were 2 of the first group who were each named ""Elder Statesman of"" this field in 1955"
"wrightbrothers","In 1909 this pair became the first to receive the Smithsonian Institution's Langley Medal for Aviation"
"gatewayarch","In 1966 this St. Louis structure was awarded the Henry Bacon Medal by the American Institute of Architects"
"robertfrost","His ""New Hampshire:  A Poem With Notes and Grace Notes"" won a 1924 Pulitzer Prize"
"ethiopia","This African country established an award called The Order of the Queen of Sheba"
"craigclaiborne","His cookbook of ""Favorites From The New York Times"" won R.T. French's Tastemaker Award"
"tomhanks","At the 1996 People's Choice Awards, this ""Apollo 13"" star received 2 awards for favorite actor"
"guglielmomarconi","In 1989 the N.A.B. established an award named for this wireless radio pioneer"
"wendywasserstein","Her ""Heidi Chronicles"" won the 1989 New York Drama Critics' Circle Award for best new play"
"lindbergh","In 1927 this aviator was named Time magazine's first Man of the Year"
"halholbrook","This actor won a 1966 Tony for his one-man show, ""Mark Twain Tonight!"
"revlon","In 1974, this co.'s Charlie was named Most Successful Introduction of a New Women's Fragrance"
"steveallen","This comedian's ""Meeting of Minds"" show on PBS won a 1981 Emmy for Best Informational Series"
"smokeybear","For contributions to forest fire prevention, the Department of Agriculture awards statuettes of this famous critter"
"exodus","It's the novel for which Leon Uris received a 1959 National Jewish Book Award"
"rubegoldberg","Presented by the National Cartoonists Society, the Reuben Award was designed by and named for this cartoonist"
"jeannekirkpatrick","While Ambassador to the United Nations in 1984, she received the Harry S. Truman Good Neighbor Award"
"johnwilliams","Film scores, such as the one for ""Superman"", earned this composer Grammys 6 years in a row"
"juliachild","Oui! Oui!  In 2000 this ""French Chef"" became the first U.S. chef to receive France's Legion of Honor"
"caldecottmedal","Jumanji"" and ""Where the Wild Things Are"" are among the picture books to win this illustrious medal"
"bowling","A silver medal goes to totally blind men who score over 185 in this indoor sport"
"dolby","The developers of this sound system, in common use since the '70s, received an Academy Award in 1989"
"geniusgrants","The MacArthur Foundation's 6-figure awards to brilliant people in various fields are known as these ""grants"
"johnglenn","This first American in Earth orbit was given the National Geographic Society's Hubbard Medal in 1962"
"tchaikovskycompetition","This international music competition began in Moscow in 1958 with prizes for piano and violin"
"washingtonpost","David Broder and George Will have won Pulitzer Prizes for Commentary while with this newspaper"
"ellagrasso","In 1976, this Connecticut governor was named ""Woman of the Year"" by Ladies' Home Journal"
"canada","In 1993 this North American country reinstated the Victoria Cross as its highest military honor"
"tedturner","In 1990 this cable mogul won the Walter Cronkite Award for excellence in journalism and telecommunication"
"johnmuir","The Sierra Club's highest award honors this naturalist who served as the organization's first president"
"economics","In 1996, just days after being named a Nobel Prize winner in this category, William Vickrey passed away"
"jordan","For their peace work, Queen Noor of this country and Leah Rabin received Eleanor Roosevelt Val-Kill Medals"
"model","In 1999 Gisele Bundchen was this of the Year at the VH1/Vogue Fashion Awards"
"trailers","Hollywood.com gives Golden Hitches to these previews of coming attractions"
"commerce","The Ron Brown Award for Corporate Leadership honors the late secretary of this cabinet department"
"meteorological","The M in AMS, which gives awards for predicting the weather, stands for this 14-letter word"
"architecture","In 1979 Philip Johnson was the first winner of the Pritzker Prize in this field"
"goldengloves","In 1975 Jack Nicholson and Gena Rowlands won Golden Globes and amateur boxer Aaron Pryor won these"
"light","Britain's 200-year-old Rumford Medal is given for discoveries about heat or this form of energy"
"journalism","The award seen here, named for a man killed on the job, is given for this type of work"
"goethe","Thomas Mann won the prize named for this German author in 1949, his bicentennial"
"magazines","In 1996 ""Civilization"" was named the best of these, among those with a circulation of 100,000 - 400,000"
"olivernorth","In 1988, during the Iran-Contra investigation, this ex-Marine received an honorary degree from Liberty U."
"sciencefiction","The Hugo Award for this type of literature honors Hugo Gernsback, who coined the term"
"circles","Awards are given by groups of ""national book critics"" and ""New York Drama Critics"" called these"
"landscapearchitects","In 1996 the American Society of these architects gave awards to a bus shelter and a park"
"smothersbrothers","In 1967 these funny singing siblings, one playing a bass, the other a guitar, were awarded a gold record"
"canada","This country's Governor General's Award has 7 categories each for writing in English and French"
"mikhailgorbachev","In 1991 this Soviet leader won the Martin Luther King, Jr. Non-Violent Peace Prize"
"cannes","The Best Intentions"" was the 1992 winner of the Golden Palm, the top prize at this film festival"
"golf","Though the Patty Berg Award was established in this sport in 1979, Patty Berg didn't win it until 1989"
"columbia","In 1947 this university was given a special citation for its high standards in governing the Pulitzer Prizes"
"georgeeastman","In 1977, Edwin Land and this Kodak camera developer entered the National Inventors Hall of Fame"
"netherlandsholland","In 1895, Louis Pasteur received this country's Leeuvenhoek Medal for microscope research"
"revlon","In 1974 this company was recognized by the Fragrance Foundation for its new ""Charlie"" perfume"
"andreisakharov","In 1975 this physicist became the first citizen of the Soviet Union to win the Nobel Peace Prize"
"victoriacross","British decoration named for former queen"
"purpleheart","Since '32 the U.S. Badge of Military Merit has had this colorful name"
"nobelprize","This prize did not have an economics category until '69"
"rogerebert","He may disagree with Gene Siskel, but he won '75 Pulitzer Prize for Film Criticism"
"civilwar","More Congressional Medal of Honor winners have come from this war than any other"
"garrytrudeau","In 1996 this ""Doonesbury"" creator received the Reuben Award as Outstanding Cartoonist of the Year"
"raybradbury","In 1997 this ""Fahrenheit 451"" author received the Silver Award from the U.S. Nat'l Commission on Libraries"
"india","This country's Bharat Ratna is awarded for exceptional work in art, literature, science or public service"
"maxplanck","In 1918 this German received the Nobel Physics Prize for his quantum theory of radiation"
"garylarson","In 1994 this ""Far Side"" creator won a Reuben Award as Best Cartoonist of the Year"
"thurgoodmarshall","In 1993 this retired black Supreme Court justice received a posthumous Presidential Medal of Freedom"
"charleslindbergh","In 1949 this aviator who flew the Atlantic solo in 1927 received the Wright Brothers Trophy from the N.A.A."
"civilwar","In 1907 the War Department authorized a campaign medal for this war -- 42 years after it ended"
"harvard","This school's Hasty Pudding Club has been presenting its Woman of the Year Award since 1951"
"nielsbohr","In 1957 this Danish physicist received the first Atoms for Peace Award"
"december","Traditionally, Nobel Prize winners are presented their awards on the tenth of this month"
"mexico","Foreigners who give distinguished service to this country may receive the Order of the Aztec Eagle"
"amazoncom","This bookseller won in the Commerce section of the 1999 Webby Awards for websites"
"clinteastwood","In 1998 honorary Cesar Awards, the French Oscars, went to director Jean-Luc Godard and this ""Unforgiven"" auteur"
"photography","In 1999 the Associated Press won Pulitzer Prizes for both the Spot News and Feature types of this"
"johnwooden","The USA's outstanding college basketball player gets an award named for this UCLA coach"
"oxford","With about 100 awarded yearly, Rhodes Scholarships enable students to study at this British university"
"drseuss","The ALA presents an award named in honor of Theodore Geisel, aka this author, for beginning readers' books"
"ebay","This auction site won a 2003 Webby Award for best Services Website on the Internet"
"washingtonpost","This Washington newspaper's Colbert King won a 2003 Pulitzer for Commentary for his columns on politics and power"
"hydrogen","William Lipscomb won the '76 Nobel Chemistry Prize for his studies of compounds of boron and this lightest element"
"nurses","The Golden Lamp awards are bestowed for the best protrayals of these health professionals in the media"
"philiproth","In 2001 this author won a Pen/Faulkner Award for Best American Work of Fiction for ""The Human Stain"
"neilarmstrong","Michael Collins, Buzz Aldrin and this man were the first astronauts to receive the Presidential Medal of Freedom"
"florencenightingale","In 1912 the Int'l Committee of the Red Cross created a medal for nursing named for this 19th century British woman"
"survivor","The Thailand edition of this CBS series won a 2003 People's Choice Award for best reality program"
"sciencefiction","The Hugo and Nebula awards are presented to writers in this genre"
"uthant","In 1965 this U.N. Secretary-General from Asia became the first to win the Nehru Award for Int'l Understanding"
"brucewillis","In 1987 this actor won an Emmy for his role as David Addison on ""Moonlighting"
"laurelhardy","This comedy team's 1932 short ""The Music Box"" won an Oscar for producer Hal Roach"
"richardbyrd","In 1929 this US Antarctic explorer was the recipient of the Boy Scouts' Silver Buffalo award"
"redcross","The International Committee of this organization has won 3 Nobel Peace Prizes: 1917, 1944, and 1963"
"gospel","The year's best praise and worship album is recognized by the association for this type of vocal music"
"unitednations","This body's peacekeeping forces were awarded the Nobel Peace Prize in 1988"
"shannonlucid","After spending 188 days in space, she became the first female winner of the Space Medal of Honor"
"tonyawards","The organization that sponsored the Stage Door Canteens during WWII is now known for these annual awards"
"margaretsanger","The Maggie Awards given by the Planned Parenthood Federation of America are named for her"
"rocky","Sylvester Stallone received ""Best Actor"" and ""Best Original Screenplay"" Oscar nominations for this 1976 film"
"rodneydangerfield","His ""No Respect"" LP won a Grammy for Best Comedy Recording of 1980"
"colinpowell","This chairman of the Joint Chiefs of Staff was awarded the Presidential Medal of Freedom in 1991"
"stevelawrence","In the title role of 1964's ""What Makes Sammy Run?"", this husband of Eydie Gorme got a Tony nomination"
"edwardteller","In 1962 this ""Father of the Hydrogen Bomb"" was given the Fermi Award for achievement in Atomic Energy"
