"hypertension","As Franklin D. Roosevelt's blood pressure was 300/190, he suffered from this 1-word condition"
"novocaine","In 1905 German scientist Alfred Einhorn created this first injectable local anesthetic used in dentistry"
"henryheimlich","Micro-Trach is an oxygen delivery system developed by this physician known for his ""maneuver"
"neonatal","The name of this branch of pediatrics that deals with newborn infants literally means ""newborn study"
"ahair","A Pseudofolliculitis barbae is an ""ingrown"" one of these"
"negativeions","Adding these charged particles to the air is supposed to reduce blood pressure and relieve headaches"
"barium","Symbolized Ba, this element is put in your body, one way or another, to be seen on X-rays"
"virginiaapgar","Yes, she developed a scoring system in 1952 to aid in determining a newborn's health"
"vasodilator","Nitroglycerin is an example of this type of drug that widens blood vessels"
"apacemaker","Device that's implanted to control irregular heart beats"
"streptococcus","The term ""strep"", as in strep throat, is short for this type of bacteria"
"kinsey","He was a world authority on the gall wasp in the '20s before turning to sex research"
"barium","For an upper GI you drink this; for a lower GI... well, we won't talk about that"
"glaucoma","To test for this, the eyeball is anesthetized and a pressure gauge is placed on the front of the eye"
"folic","To help the baby's nervous system develop, pregnant women need lots of the B vitamin known as this acid"
"wrist","De Quervain disease, affecting a tendon at this joint, is found in those with repetitive jobs, as on assembly lines"
"tick","Far away from Lyme, the lone star type of this parasite carries ehrlichiosis, a bacterial infection"
"facetransplant","In 2005 a French team performed the first of these procedures--some fear the recipient will look just like the donor"
"acupuncture","The Chinese discovered that this practice using needles could work as an anesthetic"
"eyesight","The traditional Snellen chart used to measure this contains only the letters C, D, E, F, L, O, P, T and Z"
"leeches","Today these bloodsucking creatures are sometimes used by physicians to treat hematomas"
"anthrax","In the 1870s germs of this disease of cattle became the first microorganism identified as a cause of illness"
"astethoscope","Rene Laennec invented this to save a young woman from the shock of a man listening directly to her chest"
"apsychosomatic","In this type of illness, the physical ailment (such as peptic ulcers) is real, but the cause is believed mental"
"diabetes","The ""mellitus"" in the full name of this disease comes from the Latin for ""honey-sweet"
"alzheimers","In 1906 a German doctor first presented his findings about this memory-loss disease that's now named for him"
"apollo","The original Hippocratic oath mentioned Asclepius and this son of Zeus who was called ""the physician"
"hippocraticoath","In 1964 a dean at Tufts' medical school wrote a modern version of this, used at many medical school graduations"
"multiplesclerosis","In the U.S. there are 350,000 known cases of this disease of the nervous system abbreviated MS"
"lowerback","Lumbago is a general term for achiness in this part of the body"
"diabetes","A glucose tolerance test is commonly used to diagnose this insulin deficiency disorder"
"heart","Developed before birth, a septal defect is a hole in this organ"
"dermabrasion","It's the removal of skin by sanding to remove tattoos or to improve skin scarred by acne"
"papsmear","This test for cervical cancer was devised by and named for Dr. George Papanicolaou"
"hemophilia","Queen Victoria passed this hereditary blood disease to many of her royal descendants"
"chronic","A disease that comes and goes quickly is ""acute"", while this describes a disease of long duration"
"vitamind","Rickets is caused by inadequate exposure to sunlight or a lack of this vitamin in the diet"
"plaster","Basic material used to make casts"
"registerednurse","What R.N. stands for"
"atumor","Any abnormal tissue mass with no physiologic function"
"legionnairesdisease","Bacterium responsible for this outbreak was coined ""Legionella Pneumophila"
"leeches","George Washington is one of many whose death is attributed to ""bleeding"" by these"
"bayer","This most popular U.S. aspirin was originally acquired from a German company as spoils of WWI"
"dramamine","Antiallergy drug 1st      found to help motion sickness when 1 patient took it before riding a streetcar"
"appendix","A McBurney's incision is made in the lower right abdomen by a surgeon about to remove this"
"hippocrates","In the 400s B.C. this Greek wrote, ""Into whatever houses I enter I will go into them for the benefit of the sick"
"anthrax","Robert Koch, in 1876, was the first to identify the bacterium causing a specific disease, this disease of cattle and man"
"endoscope","The name of this instrument used to see within the stomach and intestines is from the Latin for ""see within"
"hayfever","Some 20 million Americans are sufferers of this, called the most common allergy in the U.S."
"salksabin","Neither of these 2 developers of polio vaccines ever won the Nobel Prize"
"aleech","Used by primitives for blood letting, surgeons now use this worm to reattach severed body parts"
"whoopingcough","A DPT shot protects against diptheria, tetanus and pertussis, which is better known as this"
"spine","Girls between 12-15 are the people most likely to develop scoliosis, a curvature of this body part"
"kidneys","Hemodialysis removes waste material from the blood, a job usually done by these organs"
"trichinosis","Parasitic worms in undercooked pork can cause this disease in humans"
"rubbergloves","In the 1890s William Halsted introduced the practice of wearing these sterile surgical accessories"
"kinsey","His goal was to collect 100,000 sexual histories; when he died in 1956, he had about 18,000"
"biofeedback","Connected to a beeping machine, people have learned to control their blood pressure using this process"
"bones","Encyclopedia Americana says an infant has about 350 of these, but a typical adult only 206"
"ingrowntoenail","Condition in which the sharp edge of a nail grows into the flesh of a toe, usually the big one"
"colic","Sometimes a pacifier will soothe a baby suffering from this gastrointestinal pain"
"narcolepsy","Immediate ""REM"" sleep is a characteristic symptom of the sleeping attacks caused by this disease"
"alcohol","Component usually used in cough syrup as a solvent for ingredients that won't mix well with water"
"breastcancer","Because it disproportionately affects childless women, it was once known as the ""Nun's Disease"
"vioxx","On Sept. 30, 2004 this popular arthritis drug was withdrawn due to concerns about its effect on heart health"
"eczema","This itchy ailment is also called atopic dermatitis"
"australia","Its fair-skinned, non-indigenous population gave this country of 20 million the world's highest skin cancer rate"
"opportunistic","Doctors use this word, from the Latin for ""convenient"", for infections striking a weak immune system"
"nursing","Profession in which you'd find a nightingale, Florence Nightingale"
"stomach","During acid reflux, acid from here goes up into the esophagus"
"lungs","Each of these organs is lined with a membrane called a pleura; hence, pleurisy"
"ulcers","The peptic ones of these are usually broken down into gastric and duodenal types"
"histamine","Chemical found in nearly all your body's tissues; pollens may cause cells to release it"
"lougehrig","While many diseases bear doctors' names, a nerve disease is named for this victim who died in 1941"
"cardiology","This medical field specializes in the diagnosis and treatment of heart disorders"
"hemophilia","A defective gene on the X chromosome causes this disease in which blood doesn't clot normally"
"polio","Elizabeth Kenny was the first to treat this paralytic disease with moist heat and physical therapy"
"measles","In 1963 a vaccine was developed for this disease also called rubeola"
"menningerclinic","In 1923 this Topeka, Kansas clinic for mental patients was opened by a father and 2 sons"
"neck","Of the wrist, neck or back of the knee, it's where you put your fingers to feel the carotid pulse"
"nitroglycerin","A form of this explosive is often used to treat angina"
"itching","You would think the best antipruritic drugs to help relieve or prevent this are probably made from scratch"
"mumps","This common childhood viral disease is also called epidemic parotitis"
"menningerclinic","This psychiatric center in Topeka includes a children's hospital"
"acorn","It's the ""grainy"" name for a hard, painful growth of skin on or between the toes"
"anose","It's the part of the body a doctor would examine with a rhinoscope"
"shoulder","A partial tear of the rotator cuff around this joint can cause painful arc movements"
"paralysis","The term palsy applies to certain forms of this condition, which can be partial or complete"
"colorblindness","In a 1794 paper John Dalton gave the first description of this optical condition"
"colorblindness","Common name for monochromatism, which makes the world seem black, white and gray"
"chickenpox","Of measles, mumps or chicken pox, the one for which no vaccine is generally available"
"aclone","An exact copy of a cell, a gene or an organism is called this"
"williammayo","He founded a clinic with his 2 sons and was active in organizing the Minnesota Territory in the 1850s and 1860s"
"papsmear","Use of this test developed by a Greek-born U.S. physician has reduced the death rate from cancer of the cervix"
"pneumonia","Legionnaire's Disease, a severe form of this disease, can be passed through water-cooled air conditioning"
"typhoidfever","This infection of the intestines is caused by a bacterium called Salmonella typhi"
"geriatrics","Gerontology studies all aspects of aging; this branch of medicine treats the diseases of old age"
"galen","In the 2nd century this Greek physician showed that the brain controls the voice"
"jaundice","Icterus is another name for this yellowing of the skin"
"acupuncture","Ancient Chinese medical practice in which needles are inserted in the skin at key points"
"mononucleosis","Both the Epstein-Barr virus and the cytomegalovirus cause this ""kissing disease"
"vertebrae","The cervical spine has 7, the thoracic spine - 12, the lumbar spine - 5, the sacrum - 5, and the coccyx - 4"
"mushrooms","The A.M.A. says most fatal cases of poisoning from these in the U.S. are caused by the death cap variety"
"anabolicsteroids","Athletes who use these steroids to bulk up muscles risk damage to the adrenal glands and liver"
"rx","This symbol on a prescription is thought to represent the Latin word ""recipe"
"penicillin","Today, most commercial varieties of this antibiotic are produced by the mold p. chrysogenum"
"anorexianervosa","The 2-word name of this disorder comes from Greek and Latin words meaning ""without appetite"" and ""nervous"
"andreasvesalius","In 1543 this Flemish anatomist published his ""On The Structure Of The Human Body"
"galen","In the 2nd century, this Greek showed that arteries carry blood, not air as had been thought"
"lips","Cheilitis is the cracking and dryness of these; Chap Stick may give you relief"
"saliva","The parotid glands, the largest glands you have that produce this, are what swell when you have mumps"
"viruses","Pertussis and tuberculosis are caused by bacteria; measles and rubella are caused by these"
"brain","Hail, Hail, the basal ganglia are here in this organ"
"coronaryarteries","During a CABG operation, to bypass these arteries, incisions are made in a leg to get at a vein"
"mononucleosis","Among college students, it's known as the ""kissing disease"
"catscan","Allan Cormack and Sir Godfrey Hounsfield shared the 1979 Nobel Prize for developing this medical scanner"
"amnioticfluid","Down's Syndrome can be determined by analyzing this fluid enveloping the fetus in the womb"
"placebo","When testing new drugs, a control group is given this nonmedical substance  made of sugar or a saline solution"
"johnshopkins","This Baltimore hospital named for its benefactor opened in 1889"
"ablister","A collection of fluid beneath the outer layer of skin that can be caused by sunburn or a tight shoe"
"abiopsy","Needle"" is one type of this procedure in which tissue is taken from the body for a microscopic exam"
"afever","Someone who's febrile has one of these, and someone who's afebrile doesn't"
"adrenaline","This hormone, which helps the body adjust to sudden stress, is also called epinephrine"
"hyperventilation","It's defined as rapid deep breathing, which causes an excess of oxygen and a shortage of CO<sub>2</sub> in the body"
"arthritis","The juvenile rheumatoid type of this disorder is also known as Still's Disease"
"bladder","Cystitis, an inflammation of this urinary organ, is usually caused by bacteria"
"anemia","Poor bone marrow function is the leading cause of the aplastic type of this hemoglobin deficiency"
"tongue","Glossalgia is defined as pain localized in this organ"
"scarletfever","Streptococci cause this childhood ""fever"" characterized by a bright red rash and high temperature"
"eyelids","In almost a blink of an eye, a blepharoplasty operation can remove excess skin from these"
"smell","Anosmia is the loss of this sense; you get it if your olfactory bulb stops working"
"pinsneedles","Paresthesia is the term for when you ""feel"" these sewing items"
"sunburn","For this, the book ""Skin Deep"" recommends such treatments as witch hazel or a cool bath"
"chorea","A condition that features involuntary tics, it's part of Sydenham's and Huntington's diseases"
"cysticfibrosis","In 1989 researchers identified the abnormal gene on chromosome 7 that causes CF, this disease"
"intravenous","Inoculations can be cutaneous, subcutaneous, intramuscular or this way, meaning into a vein"
"laryngitis","This inflammation of the voice box is a broadcaster's nightmare"
"anemia","Tired? Pale? You may have this condition meaning ""want of blood"" and usually caused by an iron deficiency"
"bilious","This adjective can mean ""suffering from excess secretion in the liver"" or just ""cranky"
"blood","Hemophilia is a hereditary condition in which this coagulates extremely slowly"
"charleslindbergh","In the early 1930s surgeon Alexis Carrel and this American aviator invented a mechanical heart"
"antibiotics","From the Greek for ""against life"", these substances kill or inhibit the growth of infectious organisms"
"podiatry","This medical specialty is also known as chiropody"
"medicalert","Information about the medical problems of those wearing this metal tag can be accessed 24 hours a day"
"leprosy","In 1901 U.S. Surgeon General Walter Wyman helped establish a hospital in Hawaii for this disease"
"kangarosis","Of cowpox, cat scratch fever, or kangarosis, the one you can't get"
"aspirin","A few almonds might help a headache; they contain salicylic acid, found in this drug synthesized in 1853"
"malaria","In an ancient Indian treatise, Susruta noted the relationship between mosquitos and this ""bad air"" disease"
"liver","19th century physiologist Claude Bernard found how this organ converts sugar to glycogen and stores it"
"teeth","Malocclusion is a problem with these body parts"
"eyes","Lack of coordination between these matching organs is called strabismus"
"heartattack","Studies show patients treated with TPA rarely need an angioplasty after this event"
"hives","The common name for urticaria, a rash characterized by small red bumps"
"headaches","Also called cephalagia, these can be caused by pressure on the cranial or cervical nerves"
"ear","An otoscope has a small funnel-shaped attachment that is used to peer into this organ"
"nitrousoxide","In 1844 dentist Horace Wells used this anesthetic on himself to pull a tooth; he then began using it on patients"
"marrow","E. Donnall Thomas shared the Nobel Prize for the first transplant of this bone substance between 2 people who weren't twins"
"electroencephalogram","An EKG is an electrocardiogram; an EEG, this"
