"italy","Completed in 1345, the Ponte Vecchio crosses over the Arno River in this European country"
"edinburgh","It's the largest Scottish city on the banks of the Firth of Forth"
"rhine","It's the river that runs through Ludwigshafen and Mannheim"
"mountain","Any Scottish one over 3,000' is called a Munro, for the man who made a list of them in 1891"
"jerusalem","Oskar Schindler is buried on Mount Zion in this city"
"montevideo","This capital's Plaza Independencia has a statue of Jose Artigas, hero of Uruguayan independencia"
"horn","Somalia is on the geographic projection usually called this ""of Africa"
"nationalanthem","Luxembourg's is ""Uns Heimat"", which means ""Our Homeland"
"lace","Nyandete"", whose name is Guarani for ""spider web"", is a type of this delicate open-work fabric made in Paraguay"
"london","You'll find the original Hard Rock Cafe on Old Park Lane in this capital city"
"danish","Greenland has two official languages:  Greenlandic and this"
"malta","Island country whose capital, Valletta, is named for a grandmaster who led the knights in 1565"
"northernireland","This country is part of the U.K., but not part of Great Britain"
"switzerland","Surprisingly, this mountainous Western European country didn't fully grant women the right to vote until 1971"
"brazil","Of the 5 largest countries in area, the one in South America"
"andorra","Until 2001 this tiny country used the French franc and the Spanish peseta, but today uses the euro"
"sierraleone","This West Coast African country with a Portuguese name was, like Liberia, founded as a nation for freed slaves"
"french","Classes at the University of Quebec are taught in this language, Quebec's official one"
"caribbean","Anguilla and Antigua are in this sea"
"spain","It's believed that Cadiz, a city in this country, was once Gadir, a Phoenician settlement"
"brazil","Most gem-quality topaz is mined in this South American country"
"lanai","It's Hawaii's ""Pineapple Island"" though it could be called the ""Patio Island"
"mounteverest","When remeasured in 1999, this highest mountain was found to have grown by 7 feet"
"gibraltar","Most of this small British dependency on ths Spanish coast is dominated by a big ""rock"
"iceland","Vatnajokull, the largest glacier in this country, covers some 3,200 square miles"
"paraguay","Argentina, Bolivia and Brazil could say to this small country, ""Halt, we've got you surrounded!"
"czechoslovakia","Prior to 1992 this country had 3 historical regions: Moravia, Bohemia and Slovakia"
"edmonton","In 1905, 110 years after it was founded, this city became capital of Alberta"
"castille","Madrid is in the region of central Spain known as this; it even has its own language"
"borneo","This island is home to orangutans and the Sultan of Brunei"
"saigonriver","You'll find Ho Chi Minh City on this river (they didn't change its name)"
"israel","About 3% of this country's people live on collective settlements called kibbutzim"
"austria","2 miles from Innsbruck, you can see one of this country's best-preserved castles, Schloss Ambras"
"guineapig","When in Ecuador you might ""experiment"" with new foods like cuy, which is this lab rodent, baked"
"java","The capital of Indonesia is on this island"
"montreux","Each July this Swiss town plays host to a world-famous jazz festival"
"malta","The national anthem of this small country is ""Innu Malti"
"greatbritain","The cross of St. George on Manitoba's flag symbolizes its ties with this country"
"portugal","Prince Henry the Navigator's tomb is in the church of Santa Maria da Vitoria in Batalha in this country"
"aegean","The ballet ""Apollo"" is set on Delos, an island in this sea"
"france","The Bayeux Tapestry is on display in this country's Museum of Queen Matilda"
"sphinx","At Giza you'll come face-to-face with the nearly 14-foot-wide face of this famous monument"
"hudsonbay","This Canadian bay covers more than 3 times the area of the Great Lakes combined"
"k","It's the highest point in Pakistan and the second-highest mountain in the world"
"russia","If you've got a week to spare, you can see much of this 6.6 million sq. mi. country via the Trans-Siberian Railway"
"alexandria","This second-largest city of Egypt is named for the ""great"" king who founded it; you can look it up in the library"
"bombay","On newer maps of India, Calcutta is now Kolkata and this largest city is Mumbai"
"lombardstreet","A famous banking street in London and a crooked street in San Francisco share this name"
"snow","The name Lebanon comes from a word for ""white"", referring to this atop mountains"
"stockholm","Built on 14 islands, this capital of Sweden is one of the world's most picturesque cities"
"mediterranean","This large sea serves as the Sahara's northern boundary"
"christophercolumbus","He ""discovered"" the island of Saint-Barthelemy in 1493 and named it for his brother, Bartholomeo"
"tokyo","Disney's Fantillusion!"", a spectacular musical parade, debuted in this Asian city's Disneyland in 1995"
"nationalanthem","Bulgaria's is ""Mila Rodino"", which means ""Dear Homeland"
"texas","Peru is almost twice as big as this second-largest U.S. state"
"cambodiakampuchea","Now in ruins, the temple complex of Angkor Thom in this country was built by Khmer ruler Jayavarman VII"
"newzealand","The province of Zeeland in southwest Holland lent its name to this country in the South Pacific"
"chile","Although this South American country is about 2,650 miles long, its average width is less than 110 miles"
"himalayas","This mountain range, whose name means ""abode of snow"" in Sanskrit, has more than 30 peaks towering above 25,000 feet"
"sinaipeninsula","The Gulfs of Aqaba and Suez border this Egyptian peninsula"
"baghdad","This Iraqi capital was founded on the western bank of the Tigris River in 762 A.D. by the Abbasid Caliph Al-Mansur"
"asia","The largest continent; it's also the continent that's home to the most people"
"equator","This line divides the Northern and Southern Hemispheres"
"mexico","I'll be doggone, the Chihuahua Desert is in this neighbor of the U.S."
"southpole","The Amundsen-Scott research base is located at this famous point on Antarctica"
"amazon","It's the longest river of the world's largest tropical forest"
"mounteverest","The youngest person to climb it was 15-year-old Temba Tseri on May 22, 2001"
"mississippiriver","It begins in Lake Itasca in Minnesota and ends in the Gulf of Mexico"
"newzealand","This Southern Hemisphere nation was named after a southwestern province of the Netherlands"
"antarctica","The first person known to be born on this continent was Emilio Palma in 1978"
"indonesia","The country with the most volcanoes is this nation that felt a huge eruption in 1883"
"ecuador","Cotopaxi, this country's highest active volcano, is only 35 miles south of Quito"
"florence","Bistecca alla Fiorentina, a grilled steak dish, is a specialty of this Italian city"
"fiji","Suva is the chief port of this Pacific island country, as well as its capital"
"switzerland","Crossair is this country's domestic airline; you might fly it into Lugano"
"mounteverest","It wasn't until 1954, the year after it was first scaled, that a survey set it at 29,028 feet"
"amazon","Small ships can travel from this river's mouth 2,300 miles upstream to Iquitos, Peru"
"auroraborealis","Anything but boring are the Northern Lights, also known by this Latin name"
"francespain","Besides Great Britain, the 2 European countries through which the Greenwich Meridian passes"
"athens","You'll find Greece's Parliament building on Syntagma Square in this capital"
"transvaal","The name of this South African province means ""across the Vaal"" -- the Vaal River, that is"
"spain","This country's Cathedral of Leon is named for its soaring spires and stained glass windows"
"newzealand","The Canterbury Plains, this country's largest flatland area, lies on South Island"
"eastern","As its name indicates, Ecuador's lowland El Oriente lies on this side of the Andes"
"philippines","This country's islands of Palawan and Mindanao lie in the Sulu Sea"
"ontario","Until 1841 present-day Quebec was Lower Canada and this present-day province was Upper Canada"
"finland","This country could call itself the land of 60,000 lakes including Puulavesi and Saimaa"
"montenegro","Dark Mount Lovcen gave this Yugoslav republic its name, meaning ""Black Mountain"
"tokyo","For shopping and entertainment, the Ginza district in this city is world-famous"
"kalaharidesert","This desert in southern Africa has long been home to the San, or Bushmen"
"pablocasals","Every June Puerto Rico holds a music festival honoring this famed cellist"
"antarctica","It's the continent where you'll find Queen Maud Land and the Queen Maud Mountains"
"guam","Agana  is the capital of this U.S. territory"
"equator","An African country named for this line is actually one degree north of it"
"norway","Europe's Jostedal glacier has shrunk so much, you can see farms destroyed in the 1700s ice age in this country"
"mexico","In 1943 the Paricutin volcano in this country grew in a cornfield to be more than 1,100 feet tall"
"serengeti","This African natl. park HQed at seronera first got elephants 30 years ago, pushed in by encroaching humans"
"ayersrock","70 million years ago, this immense Australian sandstone monolith was actually an island in a large lake"
"german","Over 98% of the people in Austria speak this official language of Austria"
"netherlandsholland","You might tiptoe through the tulips when you're in this country, seen here"
"vancouver","The University of British Columbia is based in this city, British Columbia's largest"
"london","A symbol of the millennium, the big wheel seen here is officially known as this British city's ""Eye"
"peru","Inca Kola has been called the national beverage of this South American country in which it's made"
"newzealand","When visiting this country's North Island, don't miss the glowworm grotto in the Waitomo Cave"
"switzerland","The University of Basel, this country's oldest, was established by Pope Pius II in 1459"
"stchristopher","Columbus named the island now usually called St. Kitts for this man, his patron saint"
"bangladesh","The taka is the basic monetary unit of this country whose official language is Bengali"
"mogadishu","One of the first Arab settlements on the east African coast, it's now the capital of Somalia"
"alps","The highest railway station in Europe is in the Jungfraujoch, a pass in these mountains"
"wellington","This New Zealand city of 150,000 people was named for a British duke"
"canada","Part of the international boundary between the U.S. and this country lies in the Juan de Fuca Strait"
"tigris","The ancient Mesopotamian city of Nineveh was on its East Bank"
"portuguese","Though independent since 1975, Cape Verde still uses this as its official language"
"copenhagen","This Danish city's name means ""merchant's harbor"
"naples","Capri sits at the entrance to the bay of this Italian city"
"jerusalem","Wrecked military vehicles remain by the road from Tel Aviv to this city as a memorial of Israel's 1948 War of Independence"
"australia","This continent's highest mountain was named for Polish hero Tadeusz Kosciuszko"
"newdelhi","The Raj Path, a tree-lined avenue in this world capital, leads to the home of India's president"
"southafrica","An orange tree on this country's coat of arms symbolizes the Orange Free State"
"laketiticaca","A catfish is one of the indigenous species of fish that inhabit this highest navigable lake"
"tinternabbey","This abbey in Gwent County, Wales inspired a famous poem by Wordsworth"
"indonesia","Bandung, this country's 3rd-largest city, is the capital of the province of West Java"
"quebec","Some visitors to this French Canadian province enjoy rafting on the Jacques Cartier River"
"southafrica","If you're a native Capetonian, you were born in this country"
"bangladesh","Amar Sonar Bangla (My Golden Bengal)"" is the national anthem of this country on the Bay of Bengal"
"cyprus","Kyrenia, whose Turkish name is Girne, is a seaport and resort city on the Turkish part of this island"
"sweden","We wonder if trolls guard the Saab design center in Trollhattan in this country"
"knightsbridge","Guys in armor must feel at home in this section of London that's home to Harrods"
"sachertorte","When in Vienna, sample some of this torte that's so famous it was the subject of a 1965 lawsuit"
"willemstad","The tallest bridge in the Caribbean is the Queen Juliana Bridge in this capital of Curacao"
"poland","Pope John Paul II was born in the city of Wadowice in this country"
"australia","Beginning in the mountains of Queensland, the Darling River flows 1,700 miles as this continent's longest river"
"philippines","Cities in this country include Baguio, Quezon City and Manila"
"equator","This imaginary line that circles the globe is also known as 0 degrees latitude"
"saskatchewan","Boomtown 1910 is a recreated frontier street at a museum in Saskatoon in this Canadian province"
"africa","The Efik people of this continent are closely related to the Ibibio"
"richcoast","Costa Rica's name translates to this in English"
"denmark","This Scandinavian country is quite flat: its highest point, Yding Skovhoj, is just 568 feet high"
"indianocean","If you're a native Maldivian, you hail from an island country in this ocean"
"vienna","Locally, this world capital is spelled W-I-E-N"
"turkey","The strategic importance of the Black Sea is not lost on this country that occupies its southern rim"
"canada","You'll find Reindeer Lake covering over 2,400 square miles in this country"
"kalahari","Located in the southwestern part of the continent, it's the second-largest desert in Africa"
"poland","Ukraine, Germany and the Baltic Sea all border this country"
"argentina","In 1976 soccer's Diego Maradona joined this country's national team when he was only 16 years old"
"rose","In June Bulgaria holds an annual harvest festival of these blossoms, the month's traditional flower"
"chutneys","Many Indian foods are accompanied by these popular relishes of spices and fruits often made from mangoes"
"wales","The ""Mabinogian"" is a collection of Celtic lore from this United Kingdom division"
"ruble","After it gained its independence, Belarus adopted its own version of this basic currency"
"jamaica","Hey mon!  Blue Mountain Peak is the highest point in this island country"
"montecarlo","Paris Opera House architect Charles Garnier also designed the world-famous casino in this town"
"snowymountains","Thredbo and Perisher Blue are popular ski resorts in these aptly named Australian mountains"
"ivorycoast","This African country's people are known as Ivorians"
"reykjavik","The tower of Hallgrim's church provides a sweeping view of this Icelandic capital"
"chantilly","This French town may have been named for Cantilus, who built the first villa there; the lace came later"
"sanjose","Juan Santamaria International Airport serves this capital of Costa Rica"
"jamaica","Some cyclists take a downhill bicycling tour of this Caribbean country's Blue Mountains"
"ferdinandmagellan","The strait at South America's southern tip is named for this explorer who discovered it"
"florence","Residents of this Italain city refer to it as Firenze"
"portugal","In 1822 Dom Pedro declared Brazil's independence from this country"
"hungary","The national name of this country is Magyar Koztarsasag"
"gdansk","The Solidarity monument in this Polish port city honors workers killed during the 1970 shipyard strikes"
"andes","The name of these South American mountains may be derived from anti, a Quechuan word for ""east"
"sari","Women of India often drape the end of this wrapped garment over their heads"
"arabic","Almost all Bedouins in the Middle East speak this language"
"rice","This grain is Laos' chief agricultural product"
"belfast","Queen's University, 1 of the 2 universities in Northern Ireland, is in this capital city"
"israel","In 1994 Jordan signed a peace treaty with this country, ending the official state of war between them"
"colombia","In 1903 Panama declared its independence from this country"
"peru","According to legend, this country's city of Cuzco was built by Nanco Capac, the first ruler of the Incas"
"romania","The principalities of Moldavia and Walachia were joined together to form this country in the 19th century"
"tonga","The capital of this Pacific island kingdom is Nuku'alofa"
"taiwan","It's the island you're visiting  if your plane lands at Chiang Kai-shek Airport"
"lakealbert","In Africa, not far from Lake Victoria, is this lake named for Queen Victoria's husband"
"panama","In Central America the Trans-Isthmian Highway cuts across this country"
"burgundy","Dijon, France is the largest city of this colorful region that's famous for its wines"
"islamicrepublic","Iran's official name indicates it's this kind of republic"
"philippines","Founded in 1611, the University of Santo Tomas in Manila is this country's oldest"
"orangeriver","Before it received its present name, this ""colorful"" South African river was called the Groot"
"french","This European language is official in Togo, though Ewe, a Kwa language, is more commonly spoken"
"guatemala","Quetzaltenango is a major city in this Central American country whose national bird is the quetzal"
