"london","In May 1998 this metropolis of 7 million voted to start electing its mayor for the first time"
"beijing","From Bei Hai Park in this city, pass the Great Hall of the People, bear left, and then it's straight on to Mao's mausoleum"
"khartoum","This Sudanese capital lies on a narrow piece of land bounded by the White and Blue Nile Rivers"
"helsinki","The Tsarina's Stone is the oldest monument in this city that was made Finland's capital by Russian insistence"
"martinique","This Caribbean island's capital, Fort-de-France, lies about 15 miles southeast of Mt. Pelee volcano"
"cologne","Construction began on this German city's Gothic cathedral near the Rhine in 1248 and lasted 632 years"
"tokyo","About 1 out of every 10 Japanese people lives in this city's metropolitan area"
"istanbul","In 1973 a highway bridge opened connecting the European and Asian parts of this Turkish city"
"melbourne","It served as Australia's capital from 1901 to 1927"
"giza","This Cairo suburb, near the Pyramids, is home to most of Egypt's motion picture industry"
"brazil","Recife is called ""The Venice of"" this South American country"
"ankara","Capital of the ancient Roman province of Galatia, it became a modern national capital in 1923"
"mexicocity","This capital's Avenida Juarez was named for Benito Juarez, president of the country in the 1860s and 1870s"
"salzburg","The name of this Austrian city means ""Salt Castle"
"phnompenh","This Cambodian capital lies at the confluence of the Bassac, Tonle Sap and Mekong rivers"
"regina","You can visit the home of former prime minister John Diefenbaker in this Saskatchewan capital"
"cuzco","The Prefecture, the palace of Pizarro, still stands in this southern Peru city known for its Incan remains"
"istanbul","Linked by the world's 5th longest suspension bridge, it lies in both Europe and Asia"
"hamburgfrankfurt","The 2 German cities burgers and hot dogs can be traced back to"
"calcutta","It grew out of 3 villages:  Sutanati, Govindapur and Kalikata"
"stpetersburg","Catherine the Great began the collection of art housed at this city's Hermitage"
"toledo","It takes a little over an hour to travel from Madrid to this city to see the Casa de El Greco"
"kyoto","The rebuilt Imperial Palace in this city was home to only 2 emperors; Meiji moved the Imperial Palace to Tokyo"
"cairo","Major hotels in this city include Shepheard's and the Nile Hilton"
"florence","The tombs of Michelangelo and Machiavelli are in the Church of Santa Croce in this Italian city"
"munich","Nymphenburg Palace, the summer residence of the Bavarian kings, lies on the outskirts of this German city"
"saskatchewan","Regina, this Canadian province's capital, was originally called Pile O'Bones"
"casablanca","As Rick, Bogart said he came to this city, Morocco's main port, for the waters"
"belfast","Like London, this capital of Northern Ireland was damaged by WWII German bombs"
"ottawa","To party, Canada's civil servants often cross the river from this city to Hull, Quebec"
"danang","Site of a huge U.S. airbase in the '60s, this central Vietnamese port is now a city of over 300,000"
"berlin","First settled by Germanic and Slavic tribes, this city served as the capital of Brandenburg from 1486 to 1701"
"parisfrance","Though expanded as a Roman city, it became a capital under the Merovingian ruler Clovis I in 508"
"manila","After the Muslims' defeat, this island capital became a Spanish colony before it was held by the U.S. and then Japan"
"oxfordengland","If you receive a Rhodes scholarship, you'll have to hit the road to this city"
"cheesemaking","It's the most famous industry of the Netherlands town of Edam"
"philadelphia","Though Amman used to be named this, it wasn't home to a ""Jordanian Bandstand"" TV show"
"osaka","Considered the home of Japanese drama, especially puppet theater, it's Japan's third largest city"
"lausanne","If you take a case to the Swiss supreme court, you have to go to this French-speaking city near Geneva"
"cairo","This Egyptian city is the most populous in Africa and the Middle East"
"calcutta","A monument at St. John's Church in this Indian city remembers the victims of the ""black hole"
"seville","Home to an operatic barber, this Spanish city was once called Hispalis"
"antwerp","More diamonds are cut and traded in this Belgian port city than anywhere else in the world"
"rome","Hadrian's Wall is in England; Hadrian's Tomb is in this city"
"darwin","The chief port in Australia's Northern Territory; it was named after a naturalist on the Beagle"
"quebeccity","The 1759 British victory on the Plains of Abraham at this city helped them conquer Canada"
"charlotteamalie","It's the only city on St. Thomas in the Virgin Islands"
"vladivostok","This city is the eastern terminus of the Trans-Siberian Railway and home to the Soviet Pacific fleet"
"riga","A member of the Hanseatic League, this city with a 4-letter name was once known as the ""Paris of the Baltic"
"hiroshima","This Japanese city's Atomic Bomb Dome has become a symbol of the peace movement"
"liverpool","Buildings located on its Mersey River waterfront include the Cunard Building and the Royal Liver Building"
"tehran","This capital's name is derived from the Old Persian for ""warm place"
"mazatlan","Mexico's largest Pacific port, tourists flock to it for its pre-Lenten carnival and great sunsets"
"innsbruck","The Tyrolean Folk Art Museum is a popular attraction in this Austrian city, once an Olympic host"
"bonn","Until 1990 it was the capital of West Germany"
"zimbabwe","After Rhodesia became this country, Salisbury, its capital, became Harare"
"padua","A church in this Italian city contains the tomb of Saint Anthony"
"sanjuan","This Puerto Rican capital's harbor is guarded by Fort San Felipe Del Morro"
"salzburg","You can visit the Museum Carolino-Augusteum as well as Mozart's birthplace in this Austrian city"
"kingston","This city founded in 1693 didn't become capital of Jamaica until 1872"
"riyadh","This capital of Saudi Arabia was built at an oasis"
"telaviv","In 1950 Haifa and this Israeli city were incorporated as a single municipality"
"melbourne","A large international airport at Tullamarine serves this second-largest Australian city"
"barcelona","The Church of the Holy Family dominates the skyline of this port in northeastern Spain"
"rotterdam","Pernice, a suburb of this 2nd-largest Dutch city, has the largest oil refinery in northwestern Europe"
"freetown","In 1787, British abolitionists founded this capital of Sierra Leone as a home for liberated slaves"
"bombay","Some say this city in India was named by the Portuguese ""Bom Bahia"", or ""Good Harbor"
"caracas","This city is the seat of the Roman Catholic archbishop of Venezuela"
"geneva","In 1995 the new World Trade Organization established its headquarters in this Swiss city"
"mogadishu","The National Museum in this Somali capital was built in the 19th century by the sultan of Zanzibar"
"perth","The discovery of gold at Kalgoorlie in 1890 aided the growth of this capital of Western Australia"
"florence","Around 59 B.C. the Romans settled what is now this city, and gave it a Latin name that means ""blossoming"
"venice","This Italian Adriatic seaport is situated on 118 islands formed by about 180 canals"
"teheran","In 1788 Agha Mohammad Khan made this city the capital of Persia; it's now the capital of Iran"
"rotterdam","In the 1960s Europoort, a large harbor area, was built in this Dutch city"
"saopaulo","The tomb of Dom Pedro I stands on the grounds of Ipiranga Park in this largest Brazilian city"
"victoria","This capital of Hong Kong lies on the northern shore of Hong Kong Island"
"sydney","In 1788 a handful of officials and some 700 convicts founded this Australian city on Botany Bay"
"glasgow","Intercontinental flights to Scotland land at Prestwick Airport just outside this city"
"munich","In 1919 locksmith Anton Drexler founded the forerunner of the Nazi Party in this Bavarian capital"
"medellin","Much in the news of late, it's Colombia's second largest city"
"gander","You can see an exhibit about early transatlantic flights at this Newfoundland city's airport"
"hague","This Dutch city is home to the Netherlands Supreme Court"
"canberra","Australia's largest inland city, it's also the capital"
"hamburg","The Monckebergerstrasse is one of this German port's principal shopping streets"
"saopaulo","In 1975 Brazil's first subway system began operating in this city, the country's largest"
"lagos","In 1991 Abuja replaced this city as Nigeria's official capital"
"tokyo","The Yasukuni Shrine in this Asian capital honors the war dead"
"vancouver","The aquarium in Stanley Park in this British Columbia city has the largest collection of fish in Canada"
"antwerp","Europe's first stock exchange was established in this Belgian port in 1460"
"melbourne","This capital of Australia's Victoria state was founded in 1835 and named for England's prime minister"
"jakartaindonesia","It's the world capital located on the island of Java"
"athens","Mount Pentelicus, north of this capital, supplied the white marble for the buildings on the Acropolis"
"florence","Perhaps the best view of this city is from the Piazzale Michelangelo on the far side of the Arno River"
"geneva","This Swiss city is headquarters to the World Council of Churches"
"maracaibo","This oil-producing Venezuelan city was founded in 1571 as Nueva Zamora"
"estonia","Tallinn, capital of this nation, was settled by the Danes in 1219 and later joined the Hanseatic League"
"montreal","After hosting the 1976 Summer Olympics, this city's Olympic Stadium became the home of the Expos"
"venice","Buildings in this Italian city don't stand on solid ground, but use wooden posts driven into the mud"
"glasgow","After London and Birmingham, this Scottish city is Great Britain's third largest"
"amman","Once called Philadelphia, this capital of Jordan assumed its present name in the 7th century"
"nassau","When first founded, this capital of the Bahamas was known as Charles Towne"
"darwin","Capital of Australia's N. Territory, named for a famed British naturalist who was never there"
"moscow","The Warsaw Pact is administered from headquarters in this city"
"ankara","The city for which Angora wool, Angora cats, Angora goats and Angora rabbits are named is now called this"
"juarez","El Paso's twin city on the Mexican side of the border"
"yugoslavia","If you've split from Split, you've left this country's largest coastal city"
"plymouth","On Sept. 16, 1620 the Mayflower pulled out of this English port city"
"calcutta","Capital of British India until 1912, it was where Mother Teresa ministered to the unfortunate"
"stuttgart","This German city was named for a stud farm that was formerly on the site"
"nairobi","To attend Kenya Polytechnic, you have to go to this capital city"
"london","Like the British city of the same name, this Ontario city lies on the Thames River"
"taipei","This capital's airport is variously called Taoyuan, Zhongzheng and Chiang Kai-Shek International"
"lagos","Nigeria's chief port, it sprawls over 4 main islands connected by bridges"
"naples","The ancient Greeks founded this Italian city around  600 B.C. and gave it a name meaning ""New City"
"brisbane","Founded as a penal colony in 1824, this capital of Queensland was the site of the World's Fair Expo '88"
"kyoto","Japan's imperial capital for over 1,000 years, its name is an anagram of Tokyo"
"stockholm","The Nobel Foundation, which oversees the awarding of the Nobel Prizes, is located in this capital"
"halifax","Canada's main naval base on the eastern seaboard is in this Nova Scotia capital"
"kampala","This Ugandan capital was once the headquarters of the British East Africa Company"
"leipzig","Johann Sebastian Bach is buried in a church in this German city whose name is Slavonic for ""lime tree"
"moscow","This capital city of 13 million located at 55.5 degrees north latitude is the most populous city in Europe"
"mexico","The silver baron Jose de la Borda laid out the famous Borda Gardens in Cuernavaca in this country"
"dublin","The Gaelic name for this capital city is Baile Atha Cliath"
"christchurch","Named for one of the colleges at Oxford, this major New Zealand city has a religious name"
"madagascar","Antananarivo is the largest city on this, the world's fourth largest island"
"kenya","Mombasa, which lies on an island in the Indian Ocean, is the main port of this E. African country"
"sansalvador","This capital of El Salvador was ruined by earthquakes in 1854, 1873 and 1917"
"cannes","The sister city of Beverly Hills is this French city known for its film festival"
"nicosia","Like the rest of Cyprus, this capital city is divided into 2 sectors"
"morocco","Spain controls the cities of Ceuta and Melilla in this North African country"
"niagarafalls","The Canadian and U.S. cities connected by the Rainbow Bridge share this name"
"venice","The main traffic artery of this Italian city's historic section is the Grand Canal"
"montreal","The old part of this Quebec city borders the St. Lawrence River between Berri and McGill streets"
"lisbon","The most picturesque part of this Portuguese capital is the Alfama along the Tagus River"
"baghdad","The name of this Iraqi capital is Persian for ""God-given"
"tijuana","Many tourists like to shop in this Mexican city just south of San Diego"
"jerusalem","A real gated community, its old city contains the gates of Herod, Zion and Jaffa"
"addisababa","Emperor Menelik II founded this African capital in 1887"
"adelaide","This chief city of South Australia was named for the wife of Britain's King William IV"
"amsterdam","N. European city with a service to fish out cars that fall into its canals, the Dijks, for example"
"leningrad","In legend, Peter the Great indicated this city's site by walking into a swamp and planting his bayonet"
"vienna","Many composers including Haydn, Mozart, Brahms, Beethoven, and Strauss, made this capital their home"
"paris","Oscar Wilde, Chopin, and Sarah Bernhardt are buried in this city known for its beautiful cemeteries"
"peace","Jerusalem's name probably comes from the Hebrew, Yerushalayim, or ""City of"" this"
"barcelona","Tradition says that Columbus announced his discovery of the New World in a courtyard of this Spanish port"
"kualalumpur","This Southeast Asian capital, commonly known as KL, was founded as a tin-mining camp in 1857"
"bern","The Universal Postal Union is headquartered in this Swiss capital"
"frankfort","Germany's transportation hub, its name means ""ford of the Franks"
"mecca","In this holy Saudi Arabian city, you'll find a sacred well said to have been used by Hagar, Ishmael's mother"
"nice","In 1860 this chief resort on the Riviera was returned to France from Sardinia"
"manila","Roxas Boulevard in this capital was once called Dewey Boulevard"
"paisley","This Scottish city gave its name to fabric and clothing with colorful, swirled patterns"
"frankfurt","The food item that some named for Vienna, others named for this city 400 miles away"
"marseilles","The oldest city in France and still its chief seaport"
"windsor","Not the duke, duchess, or castle, but Canada's southernmost city"
"jakarta","In 1602, the hdqtrs. for the Dutch East India Co. was Batavia, now called this, Indonesia's capital"
"paraguay","3 major cities of this S. American country are Concepcion, Encarnacion, and Asuncion, the capital"
"budapest","Linked by bridges, this Hungarian capital was once 3 distinct and separate cities"
"alexandria","This Egyptian port city is named for the Macedonian king who founded it in 332 B.C."
"medina","This second-holiest city of Islam houses the tomb of Muhammad"
"palermo","Known as Panormus in ancient times, it's the largest city of Sicily"
"sevilla","An old tobacco factory made famous by ""Carmen"" now houses part of the university of this Spanish city"
"tijuana","For a day of fun and shopping, a lot of people head to this Mexican city, about 15 miles south of San Diego"
"vienna","Volksgarten isn't a parking lot for Volkswagens but a beautiful park noted for its rose bushes in this Austrian city"
"calcutta","Oh! this city! was the capital of British India from 1772 to 1912"
"orleans","The defenders of this city were considering surrender when Joan of Arc got the king to send a relieving army"
"winnipeg","More than half of Manitoba's people live in this city"
"geneva","In the 1860s a conference in this city led to a document on the treatment of those wounded in battle"
"marrakech","The major city of Southern Morocco, it was once called Morocco by Europeans"
"kyoto","The Kiyomizu Temple overlooks this former capital city"
"santiago","When this Chilean city was founded, its name continued, ""del Nuevo Extremo"", or ""of the new frontier"
"jakarta","In 1949 Indonesia became independent and Batavia became this capital city"
"monrovia","With some 200 inches of rain per year, this capital of Liberia is one of the world's wettest cities"
"waterford","This Irish city is home to Reginald's Tower, said to date from 1003, but is better known for its crystal"
"casablanca","Morocco has its own ""white house"", this city whose name means just that"
"cairo","Egypt's most populous city, it lies near the head of the Nile delta"
"maracaibo","Venezuela's second-largest city, it lies on the shore of a lake with which it shares its name"
"monks","Now home to over a million, Munich or Munchen began as a settlement of these people, hence the city's name"
"hobart","Mount Wellington is not in New Zealand but lies just miles west of this Tasmanian port"
"rouen","A castle keep in this French city is known as the Tour Jeanne d'Arc"
"havanacuba","In 1634 a Spanish royal decree recognized it as the ""Key to the New World and the Bulwark of the West Indies"
"barcelona","The Saint Jordi Sports Palace in this Spanish city was built for the 1992 Summer Olympics"
"warsaw","The Belvedere Palace adjacent to this city's Lazienki Park is the official residence of the Polish president"
"alexandria","The bulk of Egypt's imports and exports pass through this port"
"managua","Parque Dario in this capital has a monument to Nicaraguan poet Ruben Dario"
"liverpool","A railroad tunnel under the Mersey River connects this British city to the Wirral Peninsula"
"havana","Diego Velazquez founded this capital on Cuba's south coast; 4 years later it was moved to the north coast"
"venice","This city's main shopping street is the Mercerie, between the Rialto Bridge and St. Mark's Square"
"liverpool","The home of Prime Minister William Gladstone still stands in this British city on the Mersey River"
"sydney","This capital of New South Wales is Australia's oldest British settlement"
"pyongyang","It's said this North Korean capital is the Korean Peninsula's oldest city"
"alexandria","The lighthouse on Pharos in the harbor of this Egyptian city was 1 of the 7 Wonders of the Ancient World"
"copenhagen","This European capital has a Tycho Brahe Planetarium on Gammel Kongevej Street"
"montreal","This Canadian city's metro was the first subway in the Western Hemisphere to use rubber tires"
"vilnius","From 1920 to 1939, this Lithuanian capital was the capital of the Polish province of Wilno"
"karachi","Pakistan's largest city, it was the country's capital from 1947 to 1959"
